2023-12-12 09:40:30,068 | INFO | main - line_no 149 : Bot online 
2023-12-12 09:40:51,874 | ERROR | main - line_no 44 : Error extract_data() takes 1 positional argument but 2 were given when extracting data from soompi 
2023-12-12 09:40:52,126 | ERROR | main - line_no 51 : Error 'local variable 'data' referenced before assignment' occurred when sending soompi data 
2023-12-12 09:41:55,281 | INFO | main - line_no 149 : Bot online 
2023-12-12 09:45:59,723 | INFO | main - line_no 149 : Bot online 
2023-12-12 09:46:11,405 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:11,604 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:11,804 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:12,017 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:12,233 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:12,442 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:12,656 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:12,857 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:13,083 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:13,284 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
